,tconst,title,runtime_minutes,genres,averagerating,numvotes,release_date,studio,domestic_gross,foreign_gross
1074,tt1646127,Lights Out,87.0,"Drama,Mystery,Thriller",6.4,971.0,2016-07-22,WB (NL),67300000.0,81600000
1077,tt1086772,Blended,117.0,"Comedy,Romance",6.5,106491.0,2014-05-23,WB,46300000.0,81700000
1081,tt1091191,Lone Survivor,121.0,"Action,Biography,Drama",7.5,246641.0,2013-12-24,Uni.,125100000.0,29700000
1088,tt1959490,Noah,138.0,"Action,Adventure,Drama",5.8,229326.0,2013-09-09,Par.,101200000.0,261399999
1095,tt1092026,Paul,104.0,"Adventure,Comedy,Sci-Fi",7.0,220567.0,2011-03-17,Uni.,37400000.0,60600000
1097,tt1092634,Shanghai,105.0,"Crime,Drama,Mystery",6.4,8662.0,2010-10-02,Wein.,46400.0,9200000
1099,tt1093357,The Darkest Hour,89.0,"Action,Adventure,Horror",4.9,55071.0,2011-12-25,Sum.,21400000.0,43200000
1102,tt2235779,The Quiet Ones,98.0,"Horror,Mystery,Thriller",5.1,17967.0,2014-04-25,LGF,8500000.0,9300000
1110,tt1103153,Killers,100.0,"Action,Comedy,Romance",5.4,82237.0,2010-06-04,LGF,47100000.0,51100000
1132,tt1109624,Paddington,95.0,"Adventure,Comedy,Family",7.2,84679.0,2015-01-16,W/Dim.,76300000.0,191800000
1133,tt1111235,Trance,83.0,Horror,4.6,77.0,2013-04-05,FoxS,2300000.0,21900000
1141,tt1120985,Blue Valentine,112.0,"Drama,Romance",7.4,170089.0,2010-12-29,Wein.,9700000.0,2600000
1143,tt1121096,Seventh Son,102.0,"Action,Adventure,Fantasy",5.5,66565.0,2015-02-06,Uni.,17200000.0,97000000
1145,tt1124035,The Ides of March,101.0,"Drama,Thriller",7.1,207417.0,2011-10-07,Sony,41000000.0,35000000
1146,tt1124037,Free State of Jones,139.0,"Action,Biography,Drama",6.9,45135.0,2016-06-24,STX,20800000.0,4200000
1148,tt1126590,Big Eyes,106.0,"Biography,Crime,Drama",7.0,77447.0,2014-12-25,Wein.,14500000.0,14800000
1149,tt1126591,Burlesque,119.0,"Drama,Music,Musical",6.4,71021.0,2010-11-23,SGem,39400000.0,50100000
1150,tt1126618,Morning Glory,107.0,"Comedy,Drama,Romance",6.5,67367.0,2010-11-10,Par.,31000000.0,29000000
1180,tt1130884,Shutter Island,138.0,"Mystery,Thriller",8.1,1005960.0,2010-02-18,Par.,128000000.0,166800000
1190,tt1132449,Lay the Favorite,94.0,"Comedy,Drama,Romance",4.8,10555.0,2012-12-07,RTWC,21000.0,1600000
1191,tt1133985,Green Lantern,114.0,"Action,Adventure,Sci-Fi",5.5,252281.0,2011-06-17,WB,116600000.0,103300000
1194,tt1135084,Takers,107.0,"Action,Crime,Thriller",6.2,53377.0,2010-08-26,SGem,57700000.0,11300000
1202,tt1139328,The Ghost Writer,128.0,"Drama,Mystery,Thriller",7.2,148274.0,2010-02-12,Sum.,15500000.0,44700000
1204,tt1142977,Frankenweenie,87.0,"Animation,Comedy,Family",7.0,89489.0,2012-10-05,BV,35300000.0,46200000
1205,tt1143896,Holy Rollers,89.0,"Biography,Crime,Drama",5.9,4664.0,2010-05-21,FInd.,303000.0,305000
1218,tt1152398,Beastly,86.0,"Drama,Fantasy,Romance",5.6,72599.0,2011-03-04,CBS,27900000.0,15300000
1219,tt1152822,Freakonomics,93.0,Documentary,6.4,6466.0,2010-10-01,Magn.,101000.0,16400
1221,tt1152830,The Joneses,117.0,"Comedy,Drama",6.9,87.0,2010-04-16,RAtt.,1500000.0,5500000
1228,tt1155076,The Karate Kid,140.0,"Action,Drama,Family",6.2,146401.0,2010-06-10,Sony,176600000.0,182500000
1281,tt1161864,The Rite,114.0,"Drama,Horror,Mystery",6.0,85604.0,2011-01-28,WB (NL),33000000.0,63000000
1282,tt1164999,Biutiful,148.0,"Drama,Romance",7.5,80382.0,2010-12-28,RAtt.,5100000.0,20000000
1285,tt1170358,The Hobbit: The Desolation of Smaug,161.0,"Adventure,Fantasy",7.8,565563.0,2013-12-13,WB (NL),258399999.0,700000000
1286,tt1171222,Baggage Claim,96.0,Comedy,5.1,8296.0,2013-09-27,FoxS,21600000.0,887000
1289,tt1172991,The Company Men,104.0,Drama,6.8,41139.0,2010-10-21,Wein.,4400000.0,441000
1294,tt1175709,All Good Things,101.0,"Crime,Drama,Mystery",6.3,49684.0,2010-12-03,Magn.,582000.0,62500
1296,tt1178665,A Walk in the Woods,104.0,"Adventure,Biography,Comedy",6.3,22033.0,2015-09-02,BG,29500000.0,8000000
1299,tt1179034,From Paris with Love,92.0,"Action,Crime,Thriller",6.5,107079.0,2010-02-05,LGF,24100000.0,28700000
1302,tt1179933,10 Cloverfield Lane,103.0,"Drama,Horror,Mystery",7.2,260383.0,2016-03-11,Par.,72100000.0,38100000
1304,tt1181791,Black Death,102.0,"Action,Adventure,Drama",6.4,41103.0,2011-03-11,Magn.,22600.0,243000
1307,tt1182350,You Will Meet a Tall Dark Stranger,98.0,"Comedy,Drama,Romance",6.3,41608.0,2010-05-23,SPC,3200000.0,31000000
1314,tt1183923,Welcome to the Rileys,110.0,Drama,7.0,22210.0,2010-10-29,Gold.,159000.0,158000
1318,tt1185416,When in Rome,91.0,"Comedy,Romance",5.6,57396.0,2010-01-29,BV,32700000.0,10400000
1322,tt1189073,The Skin I Live In,120.0,"Drama,Horror,Thriller",7.6,123434.0,2011-10-14,SPC,3200000.0,27700000
1323,tt1189340,The Lincoln Lawyer,118.0,"Crime,Drama,Thriller",7.3,196109.0,2011-03-18,LGF,58000000.0,17000000
1328,tt1192628,Rango,107.0,"Adventure,Animation,Comedy",7.2,215761.0,2011-03-03,Par.,123500000.0,122200000
